icp_bh,c_country11,c_country1,c_country10,c_country2,c_country3,c_country4,c_country5,c_country6,c_country7,c_country8,c_country9
bhppp_rice,1274367398,12055360444,668376894.2,2.12E+12,19456582138,6900940414,3.97692E+11,2262702119,2.02666E+12,3.12671E+11,8132679639
bhppp_pork,33605213808,81607987050,2201039433,19714541816,27687865200,7189988899,8.04271E+11,10979789273,19417581416,1.08973E+11,9742060884
bhppp_garment,2.92686E+11,710876098.3,25905634304,1.27E+12,1.00E+11,1446676800,1.30984E+12,56690242002,1.62059E+12,67778000000,26480272339
